step,tokens_per_second,model
1582,1158177.9749174695,LN
1583,1156801.8539944575,LN
1584,1156479.012968836,LN
1587,1159452.2154417648,LN
1589,1160378.9170783735,LN
1593,1158450.500015453,LN
1594,1162836.6085817383,LN
1596,1159479.114596874,LN
1597,1156423.0613695325,LN
1598,1158917.7517296623,LN
1599,1162575.9475776665,LN
1601,1158451.313715202,LN
1602,1158913.6799654278,LN
1604,1161756.2015422296,LN
1608,1161960.0063576875,LN
1613,1154855.3770590064,LN
1614,1157247.4758441837,LN
1615,1154553.8269206134,LN
1618,1153705.8042235994,LN
1619,1157491.9424983314,LN
1620,1157539.8733187162,LN
1623,1160451.582161636,LN
1624,1158439.9220227338,LN
1625,1157098.085284436,LN
1626,1161206.530755014,LN
1627,1159139.298826711,LN
1629,1162016.4950444405,LN
1632,1156199.3091017178,LN
1635,1158944.6260912097,LN
1636,1158895.7645426968,LN
1639,1159969.2237160823,LN
1640,1160266.2633693905,LN
1642,1159347.891133165,LN
1644,1158346.3558840633,LN
1645,1162032.050864654,LN
1653,1162702.1650416856,LN
1654,1162165.520542472,LN
1656,1162691.5092616023,LN
1659,1161252.3167867044,LN
1661,1163235.2031868463,LN
1662,1154618.489287032,LN
1663,1161739.0164533048,LN
1664,1160324.220154286,LN
1665,1160538.9556026857,LN
1669,1159169.4422930544,LN
1670,1158789.0978115154,LN
1671,1162536.6126709336,LN
1672,1160677.8002803754,LN
1673,1161634.2802373886,LN
1674,1162154.0556855632,LN
1675,1162030.4133902816,LN
1677,1156471.7146271002,LN
1681,1164731.9585255994,LN
1682,1160165.873063685,LN
1683,1164336.4476087673,LN
1685,1162425.9975148274,LN
1686,1162702.9847251666,LN
1687,1164361.929819211,LN
1691,1160427.9037753877,LN
1692,1163382.0795302645,LN
1693,1165041.318468809,LN
1694,1161758.656596437,LN
1695,1153950.3914427008,LN
1696,1155304.355935753,LN
1697,1157548.8100124018,LN
1699,1157102.144300705,LN
1700,1159740.8351480206,LN
1701,1159227.2895517773,LN
1702,1158251.9914377693,LN
1708,1157932.4054507376,LN
1709,1161276.8465032503,LN
1711,1160686.7854921492,LN
1712,1137790.6995443366,LN
1713,1147145.7060750609,LN
1715,1146825.0416962192,LN
1718,1147521.638069554,LN
1721,1147786.7743123963,LN
1724,1127171.6690876312,LN
1725,1132207.516435628,LN
1728,1131947.1974018165,LN
1729,1135982.7320493553,LN
1730,1085237.141902838,LN
1732,1087165.05661636,LN
1733,1094509.7183630806,LN
1737,1099623.7894025191,LN
1740,1098520.0303619266,LN
1749,1089715.0891247685,LN
1751,1108274.3839047402,LN
1752,1086121.916785864,LN
1753,1090607.9048408791,LN
1757,1082857.9937376445,LN
1758,1095537.747187701,LN
1760,1091191.655136139,LN
1763,1111914.665228401,LN
1764,1106408.9813658346,LN
1766,1075863.432291935,LN
1770,1100439.665227008,LN
1775,1084850.9520105298,LN
1776,1081918.905099807,LN
1777,1092499.96301338,LN
1781,1084777.4571677758,LN
1783,1095982.563920177,LN
1787,1083482.5863929037,LN
1789,1101708.434394182,LN
1790,1088832.3599892256,LN
1793,1086482.5292848165,LN
1795,1103188.9241899666,LN
1796,1096785.0202157437,LN
1801,1120486.3859296795,LN
1802,1105272.307040294,LN
1803,1084746.7778010902,LN
1806,1094915.1738760683,LN
1811,1089717.9691479444,LN
1813,1098486.373827095,LN
1815,1093233.55189863,LN
1817,1092155.5957865126,LN
1818,1096777.72649642,LN
1819,1085083.632410383,LN
1820,1122659.3670453185,LN
1822,1130738.866128927,LN
1824,1144600.4934822484,LN
1825,1145771.7815314033,LN
1827,1143570.343593751,LN
1828,1147011.6752723798,LN
1829,1144021.6986654089,LN
1831,1147331.6458888848,LN
1832,1142018.3106436988,LN
1836,1149596.480856293,LN
1837,1148902.9662971129,LN
1839,1151271.248060468,LN
1842,1152203.4267526336,LN
1843,1145066.1771919532,LN
1844,1149654.9793555727,LN
1847,1149727.1089881673,LN
1849,1153601.7044964286,LN
1850,1153194.3629644804,LN
1852,1152402.2829544789,LN
1853,1154349.379848846,LN
1855,1151235.0851726956,LN
